Full Name
"Judith A Aberg, MD"
"Matthew W Shawl, MD"
"Peter L Shearer, MD"
"Jaqueline Sheehan, MD"
"Huma U Sheikh, MD"
"Mohammed O Sheikh, MD"
"Sloane Sheldon, PhD"
"Aarti Shenoy, MD"
"Gerald Shepps, MD"
"Danny Sherwinter, MD"
"Alan T Sheyman, MD"
"Tomoyoshi Shigematsu, MD"
"Edward J Shin, MD"
"Susan C Shin, MD"
"Edward Shlasko, MD"
"Hazem M Shoirah, MD"
"Raj K Shrivastava, MD"
"Vladimir B Shur, MD"
"Paul A Sidoti, MD"
"Elana Siegel, MD"
"Michael W Siegell, MD"
"Glenn R Silbert, MD"
"Luis A Silva, MD"
"Lester Silver, MD"
"Vannita Simma-Chiang, MD"
"Priya Simoes, MD"
"Kunal K Sindhu, MD"
"Elizabeth K Singer, MD"
"Anjali Singh, MD"
"Anuradha Singh, MD"
"Kamaljeet Singh, MD"
"Raman Singhal, MD"
"Marc A Sirota, MD"
"Rani D Sittol, MD"
"Maryna Skliut, MD"
"Andrew H Smith, MD, PhD"
"Barry L Smith, MD"
"Phillip Smith, MD"
"Roland Theodore Smith, MD"
"Christopher J Smolock, MD"
"Laili Soleimani, MD"
"Rachel Solnick, MD"
"Samuel E Sondheim, MD"
"Jane Song, MD"
"Philip A Sosa, DO"
"Krishnasamy Soundararajan, MD"
"Sophia Spadafore, MD"
"Elizabeth Spencer, MD"
"Louis Spina, MD"
"Westley J Spiro, MD"
"Jonathan Spitz, MD"
"Michelle Spotnitz, MD"
"Richard S Stark, MD"
"David J Steiger, MD"
"Gregory E Stein, MD"
"Laura K Stein, MD"
Clinically Integrated Network Member
"Mark Stein, MD"
"Randolph M Steinhagen, MD"
"Adam F Steinlauf, MD"
"Ashley Sterchele, MD"
"Nicholas Stevens, MD"
"Rachael M Stevenson, MD"
"Robert D Stewart, MD"
"Isaac E Stillman, MD"
"Aryeh Stock, MD"
"Jeffrey A Stock, MD"
"Richard G Stock, MD"
"Joanne L Stone, MD"
"Bess M Storch, MD"
"Matthew Straight, MD"
"Noel K Strong, MD"
"Christopher G Strother, MD"
"Jenny Su, MD"
"Stacy A Suden, MD"
"Judah J Sueker, MD"
"Anand Sukumaran, MD"
"Rachel Sullivan, MD"
"Steven Sultan, MD"
"Brian D Sumner, MD"
"Jihong Sun, MD"
"Michael Sun, MD"
"Ramona Sunderwirth-Bailly, MD"
"Daniel Suter, MD"
"Desmond Sutton, MD"
"Matthew C Swan, MD"
"Amy E Swift, MD"
"Patricia Sylla, MD"
"Arnold H Szporn, MD"
Clinically Integrated Network Member
"John Tackett, MD"
"Mira Tadros, DO"
"Che- YU J Tai, MD"
"Tak Yee T Tai, MD"
"Sarah Taimur, MD"
"Susan M Talbert, MD"
"Maite D Talbott, MD"
"Jordan P Talia, MD"
"Gilbert Tang, MD"
"Leannza Tang, OD"
"Stephanie K Tankou, MD"
"Mark H Tannenbaum, MD"
"Ryan E Tansek, MD"
"Piyush Taparia, MD"
"Marcia Tapper-Rosenberg, MD"
"Marcia Tapper-Rosenberg, MD"
"Joseph Tarantino, PhD"
"Ioannis Tassiulas, MD"
"Joseph B Tawil, MD"
"Justin K Tay, MD"
"Aida Taye, MD"
"Geoffrey Taylor, MD"
"George A Taylor, MD"
"Shameeke Taylor, MD"
"Michael Teitel, MD"
"Leon Telis, MD"
"Amanda Templeman, PhD"
"Ashutosh Tewari, MD"
"Rahul N Thakker, MD"
"Alison Thaler, MD"
"Janvi Thampi, MD"
"Deepti Thomas-Paulose, MD"
"Frederick L Thum, MD"
"Swan N Thung, MD"
"Andrew Ting, MD"
"Jess Ting, MD"
"Windsor Ting, MD"
"Daryl Tiong, MD"
"Caterina Tiozzo, MD, PhD"
"Amilcar A Tirado, MD"
"Lindsay Tishberg, MD"
"George J Todd, MD"
"Julia R Tokarski, MD"
"Joji E Tokita, MD"
"Jerome V Tolbert, MD"
"Somone Tomasi, MD"
"Philip J Torina, MD"
"Michael F Tosi, MD"
"Ann Tran, MD"
"Carley R Trentman, MD"
"Theresa M Tretter, MD"
"Christopher J Tricarico, MD"
"Shefali Trivedi, MD"
"Catherine Tsai, MD"
"Gregory P Tsai, MD"
"James C Tsai, MD"
"Vivian Tsai, MD"
"Ashley T Tsang, MD"
"Nadejda M Tsankova, MD"
"(212) 420-2124    |    281 First Avenue, New York, NY 10003    |     1.24 miles"
"Winona Tse, MD"
"Angela Tsuang, MD"
"James W Tsung, MD"
"Cynthia I Tung, MD"
"Michael D Turner, DDS"
"Benjamin Tweel, MD"
"(212) 979-4200    |    310 East 14th Street, 6th Floor, North, New York, NY 10003    |     1.24 miles"
"Efstathia Tzatha, MD"
"Takeshi Uemura, MD"
"Robin Ulep, MBBS"
"Melissa Umphlett, MD"
"Benjamin N Ungar, MD"
"Jonathan P Ungar, MD"
"Ryan C Ungaro, MD"
"Mark L Urken, MD"
"Gandhi Vallarapu, MD"
"Tayler A Van Denakker, MD"
"Peter C Vangronigen, MD"
"Lara Vanyo, MD"
"Andrew W Varga, MD"
"Paulina Vargas Santiago, MD"
"John Vaszari, MD"
"Lawrence Vaynerchuk, MD"
"Lili Velickovic Ostojic, MD"
"Rachel Ventura, MD"
"Brandon Veremis, DDS"
"Sonam Verma, MD"
"Freddie C Verzosa, MD"
"Michael A Via, MD"
"Alfin Vicencio, MD"
"Luciana Vieira, MD"
"Meenakshi V Vij, MBBS"
"Kateki Vinod, MD"
"Marianna Vinokur, DO"
"Alexander E Voldman, DO"
"Georgios Voloudakis, MD"
"Nico Volz, MD"
"Kaitlyn R Votta, MD"
"Ageliki G Vouyouka, MD"
"Vinayak G Wagaskar, MD"
"Lauren Wagner, MD"
"Jamie M Walker, MD"
"Harry Wanar, MD"
"Chang Wang, MD"
"Jing A Wang, MD"
"Xintong Wang, MD"
"George Wanna, MD"
"Yael Wapinski, MD"
"Stephen C Ward, MD"
"Emily Wasserman, MD"
"Michael Waters, MD"
"Raymond V Wedderburn, MD"
"Calvin C Wei, MD"
"Jeffrey M Weinberg, MD"
"(212) 844-8800    |    10 Union Square East, Suite 4J, New York, NY 10003    |     1.24 miles"
"Jeffrey M Weinberg, MD"
"Eugene E Weise, MD"
"Nirit Weiss, MD"
"Rebecca S Weiss, MD"
"Rebecca S Weiss, MD"
"Integrated Network, Humana (Medicare), Humana (Medicare), Oscar, "
"Rebecca S Weiss, MD"
"Naomi Weiss-Goldman, MD"
"Matthew A Weissman, MD"
"Ari L Weitzner, MD"
"Ari L Weitzner, MD"
"Integrated Network, Empire (Commercial/Medicare) Clinical Integrated "
"Kate Welch, MD"
"Christina R Weltz, MD"
"Angie E Wen, MD"
"Chase Westra, MD"
"William H Westra, MD"
"Winston Wey, MD"
"Pascale M White, MD"
"Margrit Wiesendanger, MD"
"Nils P Wiklund, MD"
"Meredith Wilkes, MD"
"Carl Wilkins, MD"
"Van Don Williams, MD"
"Olivia Wind, MD"
"Adam C Winters, MD"
"Herbert J Wisnicki, MD"
"Herbert J Wisnicki, MD"
"Herbert J Wisnicki, MD"
Clinically Integrated Network Member
"David M Witzel, MD"
"Alan Wong, DO"
"Serre-Yu Wong, MD"
"Stephanie J Wong, MD"
"Sze H Wong, MD"
"Tommy Y Wong, MD"
"Christopher D Woodrell, MD"
"Helaine K Worrell, MD"
"Steven Wortman, MD"
"Henry D Wu, MD"
"Benjamin Wyler, MD"
"Luna Xu, MD"
"Michelle Xu, MD"
"Ambika Yadav, MBBS"
"Yuji Yamada, MD"
"Diana H Yan, MD"
"Robert T Yanagisawa, MD"
"Julie Yang, MD"
"Alice S Yao, MD"
"(212) 420-2000    |    10 Union Square East, New York, NY 10003    |     1.24 miles"
"Mabel Yau, MD"
"Elizabeth Yetter, MD"
"Jeremy Ying, MD"
"Raymund L Yong, MD"
"Andrew D Yu, MD"
"Calvin G Yu, MD"
"Ismail Zahir, MD"
"Konstantin Zakashansky, MD"
"Julia Zakhaleva, MD"
"Mariam Zakhary, DO"
"Maureen F Zakowski, MD"
"Dana Zalkin, MD"
"Debra R Zane, MD"
"Nathan I Zapolsky, MD"
"Satin Zarkar, DO"
"Osama Zaytoun, MD"
"Michael J Zeidman, MD"
"Joshua R Zeiger, MD"
"Nebras Zeizafoun, MD"
"Kristen Zeligs, MD"
"Jennifer Zeng, MD"
"Linda P Zhang, MD"
"Di Zhou, MD"
"Robert J Ziets, MD"
"Lauren E Zinns, MD"
"Manuela P Zisu, MD"
"Yasmina Zoghbi, MD"
"Daniel Adler, MD"
"Debra A Aharon, MD"
"Gregory Amend, MD"
"William M Atallah, MD"
"Kyrollis Attalla, MD"
"Ketan K Badani, MD"
"Vijay K Battu, MD"
"David Bolon, MD"
"Anate Brauer, MD"
"Maurizio Buscarini, MD"
"Erkan Buyuk, MD"
"Chelsea M Canon, MD"
"Evelyn Chu, MD"
"Barbara Chubak, MD"
"Rachel B Danis, MD"
"Caner Z Dinlenc, MD"
"Miroslav L Djordjevic, MD"
"Amanda K Doyle, MD"
"Fernando Ferrer, MD"
"Ira Finegold, MD"
"Juliya Fisher, MD"
"Jenna B Friedenthal, MD"
"Yuliya Giyaur, MD"
"Shreya P Goyal, MD"
"Neil H Grafstein, MD"
"Aaron B Grotas, MD"
"Kavita Gupta, MD"
"Mantu Gupta, MD"
"Gerald P Hoke, MD"
"Tia Jackson-Bey, MD"
"Steven Kaplan, MD"
"Bruce E Katz, MD"
"Raymond Khargi, MD"
"Jonnathan Khusid, MD"
"Sung Y Kim, MD"
"Deborah Korenstein, MD"
"Juyeon Lee, MD"
"Paul S Lee, MD"
"Jovana Lekovich, MD"
"Michelle Li, MD"
"Chad A Lue, DO"
"Susan Marshall, MD"
"Carl McDougall, MD"
"Reza Mehrazin, MD"
"Mani Menon, MD"
"Yazmin Metz, MD"
"Taraneh G Nazem, MD"
"Craig Nobert, MD"
"Paulo A Pacheco, MD"
"Michael A Palese, MD"
"Vino K Palli, MD"
"Dhruti Patel, MD"
"Luiza F Petre, MD"
"Rajveer S Purohit, MD"
"Vahid Rahimian, DO"
"Tal Raviv, MD"
"Avinash K Reddy, MD"
"Libby Rhee, DO"
"Cameron K Rokhsar, MD"
Clinically Integrated Network Member
"Yulianna E Russak, MD"
"Rollin Say, MD"
"John P Sfakianos, MD"
"Sovrin M Shah, MD"
"Vannita Simma-Chiang, MD"
"Gary J Stadtmauer, MD"
"Daniel E Stein, MD"
"Jeffrey A Stock, MD"
"Alexis E Te, MD"
"Ashutosh Tewari, MD"
"Ryan B Turner, MD"
"Vinayak G Wagaskar, MD"
"Nils P Wiklund, MD"
"Robert H Wilson, MD"
"Danny Wong, MD"
"Molly K Wright, MD"
"Osama Zaytoun, MD"
"Christina T Zhang, DO"
"Won-Taek Choe, MD"
"Lynelle Granady, MD"
"Chandra M Ivey, MD"
"Guy Lin, MD"
"Scott B Markowitz, MD"
"Keri L Peterson, MD"
"Jeffrey Delson, MD"
"Tier, United (Commercial) Clinical Integrated Network"
"Carl Guillaume, MD"
"Erin H Kil, MD"
"Agnieszka Kokoszka, MD"
"Kathleen Mulligan, MD"
"Jacob Rossmer, PsyD"
"Ankit R Shah, MD"
"Johnny I Arnouk, MD"
"Gil I Ascunce, MD"
"Armand G Cacciarelli, MD"
"Tier, UMR Top Tier, United (Commercial) Clinical Integrated Network"
"Jonathan Chen, DO"
"Barbara A Cheung, MD"
"Elizabeth Choi, DO"
"Karen H Choi, OD"
"Desiree Chow, MD"
"(212) 749-1820    |    279 East 3rd St, New York, NY 10009    |     1.64 miles"
"Andreas Cohrssen, MD"
"Christina M Cruz, MD"
"Cory C Cunningham, LCSW"
"Jared Dropkin, DO"
"Luis M Espinal Hichez, MD"
"Olga Evdos, MD"
"Michael R Felsen, MD"
"Vanessa E Fernandez, MD"
"Sophie Fortier, MD"
"John Galian, MD"
"Justin T Gasper, MD"
"Ann D Glassman, DO"
"Shamika Gokhale, DO"
"Aviva D Gorig, MD"
"Uta Guo, MD"
"Raphael L Hamilton, DDS"
"Jisu Han, DO"
"Virgil Hatcher, MD"
"Alicia Henderson, LCSW"
"Lee C Hinnant, MD"
"Anna J Holmgren, MD"
"Jennifer M Howard, MD"
"Chi Doan Huynh, MD"
"Sonal B Jani, MD"
"Rui Jiang, MD"
"Pallavi Khanna, MD"
"Anuradha Kottapalli, MD"
"Alexandra Kreps, MD"
"Andrew Lam, DDS"
"Daniel Laroche, MD"
"Cheong E Lee, DDS"
"Lee Y Lin, MD"
"(212) 749-1820    |    279 East 3rd St, New York, NY 10009    |     1.64 miles"
"Danielle Loeb, MD"
"Michael H Loshigian, DPM"
"Nicole M Marona, LCSW"
"Phillip Rico S Martinez, MD"
"Hilda Massoud, LCSW"
"Richard S Mizuguchi, MD"
"Jeffry D Mutuc, MD"
"Dalia S Nagel, MD"
"Diana Nassar, MD"
"Rebecca S Nerenberg, LCSW"
"(212) 749-1820    |    279 East 3rd St, New York, NY 10009    |     1.64 miles"
"Jenna Nessa, DDS"
"David Ochshorn, LCSW"
"Christian Olivo-Freites, MD"
"Lorenzo F Ottaviano, MD"
"Sun Joo Paik, DDS"
"Komal Pandya, MD"
"Carmen E Parilla, LCSW"
"Lauren M Perry, DO"
"Sreekala Raghavan, MD"
"Judith T Rosenfeld, LCSW"
"Hugo O Rosero, DO"
"Rachel T Samouha, OD"
"Amy J Schlauch, DO"
"Zehra Siddiqui, DO"
"Raman Singhal, MD"
"Katerina Skorobogach, LMHC"
"Brittany K Solar, MD"
"Kevia L Taylor, MD"
"Brooke A Trenton, MD"
"Debora S Velasco, DPM"
"(212) 749-1820    |    279 East 3rd St, New York, NY 10009    |     1.64 miles"
"Freddie C Verzosa, MD"
"Jesse J Xie, MD"
"Marco Yeung, MD"
"Dina M Began, MD"
"Charlotte Birnbaum, MD"
"Andreas Boker, MD"
"Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top "
"Oishee Bose, MD"
"Robert L Buka, MD"
"Michele Burgess, MD"
"Erkan Buyuk, MD"
"Chelsea M Canon, MD"
"Margot Chima, MD"
"Sourab P Choudhury, DO"
"Barry J Cohen, MD"
"David J Cohen, MD"
"Ila Dayananda, MD"
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical "
"Elizabeth Dennis, MD"
"Nikhil Dhingra, MD"
"Beau A DiCicco, MD"
"Hysem Eldik, MD"
"Todd Estabrook, MD"
"Rhonia Gordon, MD"
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical "
"Rhonia Gordon, MD"
"Alison B Gruen, MD"
"Simi T Gupta, MD"
"Meredith A Halpern, MD"
"Afnan Haq, MD"
"Taryn R Huizenga, MD"
"Shanaye Jeffers, MD"
"Hasan Khosravi, MD"
"Nadia I Kihiczak, MD"
"Anuradha Kottapalli, MD"
"Alexandra Kreps, MD"
"Carolyn Kwiat, MD"
"Hope S Langer, MD"
"Jovana Lekovich, MD"
"Kunal Malik, MD"
"Mariana Marcu, MD"
"(212) 343-3145    |    594 Broadway, Suite 501, New York, NY 10012    |     1.74 miles"
"Babak Mohajer, MD"
"Jacques L Moritz, MD"
"Natalie M Moulton-Levy, MD"
"Taraneh G Nazem, MD"
"John K Nia, MD"
"Charlotte S Noorollah, DO"
"Murray Orbuch, MD"
"Sapna R Palep, MD"
"Andrew J Peranteau, MD"
"Andrea N Persaud, MD"
"Claudia Rivera-Galindo, MD"
"Olga Rodas, MD"
"Olga Rodas, MD"
"Anna Rozman, DO"
"Nada Saymeh, DO"
"Sanjosh Singh, DO"
"Daniel E Stein, MD"
"Mark Strom, MD"
"Usama Syed, MD"
"Victor Tenenbaum, MD"
"(718) 251-1661    |    415 West Broadway Suite 5S, New York, NY 10012    |     1.74 miles"
"Anthony W Termine, MD"
"Jessica M Vernon, MD"
"Douglas D Altchek, MD"
"Gilberto E Alvarez del Manzano, MD"
"Elliot M Charen, MD"
"Peter L Faries, MD"
Clinical Integrated Network
"Ella Glaser, MD"
"Michael T Goldstein, MD"
"Steven J Gruber, MD"
"Donna Ingram, MD"
"Afsaneh Latifi, DPM"
"Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top "
"Suzanne M Loiselle, MD"
"Mitchell J Mandel, MD"
"Chiarra M Ornillo, MD"
"Adam K Penstein, MD"
"Shirin S Peters, MD"
"Laura M Popper, MD"
"Ghazal Reihani, MD"
"Kristen A Semanision, DO"
"Jonathan P Shapiro, MD"
"Gary J Stadtmauer, MD"
"Integrated Network, Emblem Health (HIP Commerical and Medicare) "
"Gila Aaron, MD"
"Rahul Agarwal, MD"
"Nikita Agrawal, MD"
"Cyrus A Assadi, MD"
"Mahshid A Assadi, MD"
"Meena Bansal, MD"
"David H Baskin, MD"
"Martin I Baskin, MD"
"Ilana Bass, MD"
"Ruchika Batwara, MD"
"Dina M Began, MD"
"Robert S Bernstein, MD"
"(212)523-8672    |    36 West 60th Street, New York, NY 10023    |     1.87 miles"
"Abhik Bhattacharya, MD"
"Laura K Bock, MD"
"Robert L Buka, MD"
"Michele Burgess, MD"
"John D Cahill, MD"
"Michael C Cameron, MD"
"Christopher Cao, MD"
"Fernando C Carnavali, MD"
"Kimberly Cavaliere, MD"
"Hayley Chester, DO"
"Margot Chima, MD"
"Sourab P Choudhury, DO"
"Lawrence B Cohen, MD"
"Louis J Cohen, MD"
Clinical Integrated Network
"Samantha H Cohen, PT"
"Yael T Cohn, PT"
"Kelsey E Collins, MD"
"Jean-Frederic Colombel, MD"
"Samuel J Daniel, MD"
"Douglas T Dieterich, MD"
"Gregory B Dodell, MD"
"Edward Eden, MD"
"Raymonde E Ernest-Jean, MD"
"Laura J Fitzpatrick, MD"
"Etta Frankel, MD"
"Yesika A Garcia-Lopez, MD"
"Cheyenne Gauvin, PT"
"Bruce P Gelman, MD"
"Sonia Gidwani, MD"
Clinically Integrated Network Member
"Christopher A Gold, DO"
"Stephanie L Gold, MD"
"Gabrielle Goldberg, MD"
"Tessa S Gomez, MD"
"Karl R Goodman, MD"
"Mark A Gorny, MD"
"Zoe Gottlieb, MD"
"Peter Goulden, MD"
"Ari M Grinspan, MD"
"Alison B Gruen, MD"
"Jay Guevarra, MD"
"Peter W Hashim, MD"
"Robert P Hirten, MD"
"Nicholas Hoerter, MD"
"Dora Huang, RD"
"Steven Itzkowitz, MD"
"Jennifer Jo, MD"
"Daniela Jodorkovsky, MD"
"Karina Jordan, MD"
"Maia Kayal, MD"
"Laurie Keefer, PhD"
"Hasan Khosravi, MD"
"Jonathan R Koppel, MD"
"Sanjana C Koshy, MD"
"Nikhil A Kumta, MD"
"Tatyana Kushner, MD"
"Alexandra Livanos, MD, PhD"
"Elizabeth J Loewy-Vukic, MD"
"Aimee L Lucas, MD"
"Edward Lung, MD"
"Yuying Luo, MD"
"Martin Malachovsky, MD"
"James F Marion, MD"
Clinical Integrated Network
"Tracey Martin, MD"
"Elana Maser, MD"
"Elizabeth McAneny, PT"
"George F McKinley, MD"
"Saurabh Mehandru, MD"
"Ira S Meisels, MD"
"Haleh Milani, MD"
"Edwardine M Mohanraj, MD"
"Frank A Nelson, MD"
"Richard R Neufeld, MD"
"Haidang D Nguyen, MD"
"John K Nia, MD"
"Charlotte S Noorollah, DO"
"Joshua D Novak, MD"
"Allison Ostrow, MD"
"Carmen E Pal, MD"
"Pruthvi Patel, MD"
"Andrea N Persaud, MD"
"Nina R Priven, MD"
"Danielle Y Qing, MD"
"Anna T Resisi, DO"
"Rebecca Roediger, MD"
"Jean W Saleh, MD"
"James S Salonia, MD"
"Jahnavi N Sawhney, MD"
"Michael Schmutter, PT"
"Clair Schretlen, MD"
"Leslie F Seecoomar, MD"
"Michelle M Sells, MD"
"Brijen Shah, MD"
"Lauren I Shapiro, MD"
"Priya Simoes, MD"
"Priyanka L Singh, MD"
"Sanjosh Singh, DO"
"(212) 385-3700    |    135 W. 70th St, New York, NY 10023    |     1.87 miles"
"Michael S Smith, MD"
"Ali Soroush, MD"
"Christine F Stavropoulos, MD"
"David J Steiger, MD"
"Adam F Steinlauf, MD"
"Usama Syed, MD"
"Ryan C Ungaro, MD"
"Nastassia Verbitska, MD"
"Augusto Villanueva Rodriguez, MD"
"Medicare) Clinical Integrated Network, Emblem Health (HIP "
"Jimmy Vo, MD"
"Christina P Wang, MD"
"Emily H Wang, MD"
"Cathy L Ward, MD"
"Pascale M White, MD"
"(914) 677-0200    |    230 West 74th Street, New York, NY 10023    |     1.87 miles"
"Serre-Yu Wong, MD"
"Dana Zalkin, MD"
"Saul Zion, PT"
"Danijela S Zotovic, MD"
"John Abroon, MD"
"Peter J Baiocco, MD"
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical "
"Douglas R Birns, MD"
"Robert L Buka, MD"
"Michele Burgess, MD"
"Liboria Buscemi, MD"
"Paul J Cagle, MD"
"Margot Chima, MD"
"Sourab P Choudhury, DO"
"Charlotte Cunningham-Rundles, MD"
"Beau A DiCicco, MD"
"(212) 385-3700    |    1425 2nd Avenue, New York, NY 10021    |     2.11 miles"
"Robert L Finney, MD"
"Laura J Fitzpatrick, MD"
"John Flanagan, MD"
"Frederick Friedman, MD"
United (Commercial) Clinical Integrated Network
"Alison B Gruen, MD"
"Peter W Hashim, MD"
"Diana Y Ho, MD"
"Rebecca Kleinerman, MD"
"Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top "
"Lauren L Levy, MD"
"Michelle Li, MD"
"Martin Malachovsky, MD"
"Jarrett Masson, MD"
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical "
"John K Nia, MD"
"Allison Ostrow, MD"
"Vino K Palli, MD"
"Andrew J Peranteau, MD"
"(212) 385-3700    |    1425 2nd Avenue, New York, NY 10021    |     2.11 miles"
"William D Priester, MD"
"Sanjosh Singh, DO"
"Meredith Sternstein, MD"
"Lisa B Szubin, MD"
Clinically Integrated Network Member
"Nastassia Verbitska, MD"
"Abbe M Wain, MD"
"Danijela S Zotovic, MD"
"(888) 603-9338    |    302 East 72nd St, New York, NY 10021    |     2.11 miles"
"Sumayya Ahmad, MD"
"Apoorva Avutu, DO"
"Priti Batta, MD"
"Vivien Boniuk, MD"
"Alexander Bulanov, DO"
"Noah Canlas, MD"
"Nisha Chadha, MD"
"Charissa Y Chang, MD"
"Margaret Chapman, MD"
"Masako Chen, MD"
"Christina Cherny, OD"
"Renu Chiruvolu, DO"
"Alexis C Colvin, MD"
"Mary Abigail Craven, MD"
"Kristina M Creadore, OD"
"Avnish Deobhakta, MD"
"Nisha Dhawlikar, MD"
"Alberto Distefano, MD"
"Monica M Dweck, MD"
"Valerie I Elmalem, MD"
"Julia M Fallon, MD"
"Zarah B Fernandez, MD"
"Artur Filipowicz, DO"
"Robert L Finney, MD"
"Rochelle E Fleisher, OD"
"Tamiesha Frempong, MD"
"Donna J Gagliuso, MD"
"Olivia Ghaw, MD"
"Robin N Ginsburg, MD"
"Anita Gupta, MD"
"Meenakashi Gupta, MD"
"Mary Brigid R Halloran, DO"
"David J Harris, MD"
"Spiros P Hiotis, MD"
"Tsontcho Ianchulev, MD"
"Jordan M Jacobs, MD"
"Andrew Jin, MD"
"Gautam Kamthan, MD"
"Yogita K Kashyap, MD"
"Andrew J Kaufman, MD"
"William H Kimbrough, MD"
"Alyssa Korenstein, MD"
"Harini Kumar, MD"
"Alex J Ky-Miyasaka, MD"
"Gennady B Landa, MD"
"Linda Law, MD"
Clinically Integrated Network Member
"Rachel Lee, MD"
"Gareth Lema, MD"
"Yafeng Li, MD"
"James Lin, MD"
"Yunyun A Lo, MD"
"Tianyi Lu, MD"
"Palak Majmudar, MD"
"Kira Manusis, MD"
"Ray R Min, DO"
"Trisha Mor, MD"
"Donald C Okoye, MD"
"Michael Park, MD"
"Louis R Pasquale, MD"
"Megha B Patel, MD"
"Neal S Patel, MD"
"Varun Pawar, MD"
"Thomas Quehl, MD"
"Edward L Raab, MD"
"Nathan M Radcliffe, MD"
"Aubrey Raimondi, MD"
"Harsha S Reddy, MD"
"Evan Rieder, MD"
"Radames V Rios-Gonzalez, MD"
"Chiara Rocha, MD"
"Richard B Rosen, MD"
"Sitara Satish, MD"
"Myron Schwartz, MD"
"Ekaterina Semenova, MD"
"Paul A Sidoti, MD"
"Roland Theodore Smith, MD"
"Max W Sung, MD"
"Fasiha Syed, DO"
"Parissa Tabrizian, MD"
"Tak Yee T Tai, MD"
"Leannza Tang, OD"
"Windsor Ting, MD"
"James C Tsai, MD"
"Ashley T Tsang, MD"
"Kateki Vinod, MD"
"Angie E Wen, MD"
"Carl Wilkins, MD"
"Sze H Wong, MD"
"Henry D Wu, MD"
"Edward C Yang, MD"
"Alice S Yao, MD"
"Hongyan Zou, MD"
"Hollin E Calloway, MD"
"Charissa Y Chang, MD"
"Aylon Glaser, MD"
"Harshna B Mehta, MD"
"Raj Tandon, MD"
"Jessica Ables, MD"
"Emil Achmad, MD"
"Sagal Ahmed, PhD"
"Daniel A Alicea, MD"
"Amy S Aloysi, MD"
"Nana Amoh, PhD"
"Leonard D Amoruso, DO"
"James J Andersen, MD"
"Jacob M Appel, MD"
"Kenneth B Ashley, MD"
"Jesse J Astwood, MD"
"Hameed Azeb Shahul, MD"
"Alina Babar, MD"
"Brittany Banbury, MD"
"Ronjon Banerjee, MD"
"David C Banthin, PhD"
"Peter J Barelli, MD"
"Barbara J Barnett, MD"
"David S Baskin, PsyD"
"Arnabh Basu, MD"
"Stephanie S Behringer-Massera, MD"
"Joan L Bell, LCSW"
"Veerle Bergink, MD"
"Brett B Bernstein, MD"
"Saumya Bhutani, MD"
"Namita Biala, DO"
"Caroline H Bjorkman, DO"
"Sarah Bloch-Elkouby, PhD"
"Kara Bloomgarden, MD"
"Timothy K Brennan, MD"
"Alexis M Briggie, PhD"
"(212) 420-2000    |    45 Rivington Street, New York, NY 10002    |     2.34 miles"
"Brian G Buggie, MD"
"Armand G Cacciarelli, MD"
"Francesco Callipari, MD"
"Steven Carbonaro, MD"
"Bruno Caridi, MD"
"Luis R Cerra, MD"
"Geroge Chahine, MD"
"Aloke Chakravarti, MD"
"Elliot M Charen, MD"
"Alexander Charney, MD"
"Zijian Chen, MD"
"Tim Y Chi, PsyD"
"Woo Young Choi, MD"
"Mary C Christopher, MD"
"Ian J Cohen, MD"
"Tamir Danilov, DPM"
"Kamilla Danilova, DPM"
"Nephthalie Davis, LCSW"
"Martyna DeVries, MD"
"Joseph Deluca, PhD"
"Jonathan Depierro, PhD"
"Andrew G Dill, MD"
"Olivia Ding, MD"
"Eddys Disla, MD"
"Julia Dobner-Pereira, PsyD"
"Daniel S Donovan, MD"
"Rushad K Dordi, MD"
"Ashley M Doukas, PhD"
"Maria Edman, PsyD"
"Hysem Eldik, MD"
"Junona Elgudin, MD"
"Cristina Enriquez, LCSW"
"Hulya M Erhan-Sangenito, PhD"
"Carrie Ernst, MD"
"Luis M Espinal Hichez, MD"
"Erica L Everest, MD"
"Ralph Fader, MD"
"Reshmitha Fallurin, MD"
"Lena Fan, MD"
"Todd E Feinberg, MD"
"Shara J Feldman, PhD"
"Martijn Figee, MD"
"Jason Filopei, MD"
"Gabrielle Finley, LCSW"
"Rachel Fischer, MD"
"Jeffrey Fishberger, MD"
"Christine Fitzpatrick, MD"
"Boris Fligelman, MD"
"Latoya Freeman-Beman, MD"
"Maxim Frenkel, MD"
"Stephanie L Friedman, MD"
"Amany Galal, MD"
"Gregory M Gale, MD"
"Mariel A Gallego, PhD"
"Jessica L Gatt, MD"
"Dmitriy Gekhman, MD"
"Vani P George, DO"
"Melvin R Gilbert, MD"
"Boris Gilyadov, MD"
"Lissette Giraud, MD"
"Tessa S Gomez, MD"
"Rostislav Gorbatov, MD"
"Michael Graber, MD"
"Vincent Grbach, MD"
"Maria Green, MD"
"Molly Grover, MD"
"Steven J Gruber, MD"
"Hailey S Gupta, MD"
"Nishant K Gupta, MD"
